자치구,살인,강도,강간,절도,폭력,살인검거율,강도검거율,강간강제추행검거율,절도검거율,폭력검거율,합계검거율,인구수
종로구,6,12,238,1940,2263,83.33333333333334,100.0,100.0,52.57731958762887,95.13919575784358,96.38932496075353,161922
중구,3,8,198,2150,2225,100.0,87.5,74.74747474747475,42.51162790697675,89.70786516853933,66.92844677137872,134409
용산구,4,9,251,1489,2384,100.0,100.0,85.2589641434263,40.22834116856951,84.22818791946308,68.52791878172589,245102
성동구,4,3,104,1296,1619,100.0,100.0,75.0,69.1358024691358,86.96726374305128,79.04824851288829,307161
광진구,4,11,279,2636,2392,100.0,54.54545454545454,83.87096774193549,40.098634294385434,84.07190635451505,62.232243517474636,372104
동대문구,5,10,190,1940,2642,100.0,100.0,83.15789473684211,55.206185567010316,89.96971990915974,75.6841445581784,370312
중랑구,8,14,164,1691,3164,87.5,100.0,91.46341463414635,62.211709047900655,85.71428571428571,78.05990874826423,415677
성북구,4,8,154,1470,2108,75.0,100.0,75.97402597402598,49.31972789115646,86.29032258064517,71.36752136752136,461617
강북구,7,5,217,1222,2778,85.71428571428571,80.0,73.27188940092167,54.99181669394435,89.34485241180705,78.57649562544337,330704
도봉구,3,5,123,866,1441,100.0,100.0,98.3739837398374,56.812933025404156,90.83969465648855,79.16324856439705,350272
노원구,5,6,159,1857,2516,100.0,100.0,89.30817610062893,39.84921917070544,84.41971383147853,66.49790887079023,571212
은평구,6,9,156,1666,2664,100.0,77.77777777777779,91.02564102564102,53.421368547418965,86.63663663663664,74.4945567651633,495937
서대문구,6,5,175,1503,1976,100.0,80.0,84.0,50.033266799733866,83.19838056680162,69.6862210095498,325871
마포구,4,4,399,2527,2939,100.0,100.0,80.20050125313283,37.198258804907006,85.06294658046954,64.20909245700665,390887
양천구,5,7,131,1719,2250,100.0,100.0,82.44274809160305,43.92088423502037,85.24444444444444,67.92315175097276,481845
강서구,9,10,275,1952,3204,100.0,100.0,86.9090909090909,54.815573770491795,86.3920099875156,75.17431192660551,602104
구로구,9,10,273,1910,3164,100.0,100.0,66.30036630036629,45.07853403141361,84.70290771175726,69.77264256429369,449600
금천구,6,7,175,1264,2193,100.0,100.0,81.71428571428572,51.74050632911392,88.73689010487917,75.61042524005487,254654
영등포구,13,19,356,2341,3593,100.0,73.68421052631578,63.20224719101124,40.153780435711234,83.69050932368495,66.4188547927871,406779
동작구,8,7,325,1226,1661,75.0,100.0,45.84615384615385,45.18760195758564,86.93558097531607,66.93523396343353,413247
관악구,6,12,322,2103,3235,100.0,83.33333333333334,81.98757763975155,44.55539705183072,83.67851622874807,69.12645297640015,525607
서초구,5,13,428,2205,2338,100.0,76.92307692307693,63.3177570093458,50.204081632653065,86.7835757057314,68.59089997995589,451477
강남구,5,39,516,3587,4002,100.0,100.0,80.03875968992247,53.4708670197937,88.13093453273363,72.46287888084427,572140
송파구,9,15,234,2543,3289,88.88888888888889,80.0,78.63247863247864,41.211167911915055,85.37549407114624,66.66666666666666,664946
강동구,4,14,160,1754,2530,100.0,92.85714285714286,95.0,51.425313568985175,86.99604743083003,73.35275661138503,448471
